at,CONTENT,RATING,LABELING
2025-12-14 12:10:47,Alhamdulillah terbantu dengan adanya mobile jkn,5,POSITIVE
2025-12-14 12:03:12,Apalah scan wajah gagal terus,1,NEGATIVE
2025-12-14 11:40:43,"maaf tidak bisa login akun (padahal NIK & password sudah sesuai) 1. Sudah berulang hapus cache 2. Sudah berulang update aplikasi 3. Sudah berulang ""lupa password"" tapi tidak nerima balasan kode tertentu ke sms, kira2 solusi lain'a apa? thx",3,NEGATIVE
2025-12-14 11:37:51,Aplikasi ini sangat membantu sekali,5,POSITIVE
2025-12-14 10:54:41,apk bagus banget,5,POSITIVE
2025-12-14 10:53:43,Aplikasinya Bagus & Membantu,5,POSITIVE
2025-12-14 10:28:52,cukup memuaskan aplikasi nya mudah di gunakan.. semoga ttp mudah dan sukses selalu,4,POSITIVE
2025-12-14 10:23:10,ok mantap,5,POSITIVE
2025-12-14 10:11:55,solusi untuk hp yg aflikasinya tidak mendukung apa? apa harus ganti hp,5,NEGATIVE
2025-12-14 8:49:40,"tolong diperbaiki 1. berbicara dgn call center, lagi berbicara pihak call center bilang tidak ada suaranya, padahal suara call center terdengar jelas 2. terkait rujukan ke faskes selanjutnya, dari pihak rumah sakit yg dituju, ada tambahan persyaratan yg b",2,NEGATIVE
2025-12-14 8:41:30,memudahkan penggunaan BPJS kesehatan,5,POSITIVE
2025-12-14 8:35:01,Good app's,5,POSITIVE
2025-12-14 8:03:29,"menghemat waktu,dan efisien",5,POSITIVE
2025-12-14 8:03:18,pelayanan sangat baik dan cepat juga memberikan kemudahan cukup dari rumah sja sudah bisa diproses,5,POSITIVE
2025-12-14 7:56:01,mudah untuk update skrining,5,POSITIVE
2025-12-14 7:44:45,lebih mudah dan praktis,5,POSITIVE
2025-12-14 7:43:05,bagus,5,POSITIVE
2025-12-14 7:39:18,ok,5,POSITIVE
2025-12-14 7:30:08,aku suka aplikasi ini,5,POSITIVE
2025-12-14 7:29:28,mantap,5,POSITIVE
2025-12-14 7:23:31,Penggunaan mudah,5,POSITIVE
2025-12-14 7:11:48,Sangat bagus dan pengunaannya mudah,5,POSITIVE
2025-12-14 6:40:58,terbaik,5,POSITIVE
2025-12-14 6:20:42,"mudah, dan kalau mau antrian tinggal online, jadi ga perlu ngantri lagi",5,POSITIVE
2025-12-14 6:19:51,lmyan membantu,5,POSITIVE
2025-12-14 6:03:06,nice,5,POSITIVE
2025-12-14 5:07:30,good,5,POSITIVE
2025-12-14 5:00:23,sangat mudah,5,POSITIVE
2025-12-14 4:54:21,sangat membantu,5,POSITIVE
2025-12-14 4:26:08,terbaik,5,POSITIVE
2025-12-14 3:54:27,"User friendly, mantal, sanvat membantu.",5,POSITIVE
2025-12-14 3:52:13,ok,5,POSITIVE
2025-12-14 3:26:25,"call center nya kurang bisa menangkap apa kendala yg diceritakan oleh pasien, dan kaga nyambung (soalnya kejadian berulang) ditanya apa jawab apa, perlu ditraining lg",1,NEGATIVE
2025-12-14 3:22:41,bagus tapi disayangkan sisa antrian tidak update,3,NEGATIVE
2025-12-14 3:15:33,"sangat membantu ,terimaksih",5,POSITIVE
2025-12-14 2:58:47,maaf kenapa aplikasinya sejak diperbaharui bulan Oktober ngga bisa dibuka yah langsung out gitu pdhal kuota sama wifi lancar mohon bantuannya__,3,NEGATIVE
