CONTENT,RATING,LABELING
Alhamdulillah terbantu dengan adanya mobile jkn,5,POSITIVE
Apalah scan wajah gagal terus,1,NEGATIVE
"maaf tidak bisa login akun (padahal NIK & password sudah sesuai) 1. Sudah berulang hapus cache 2. Sudah berulang update aplikasi 3. Sudah berulang ""lupa password"" tapi tidak nerima balasan kode tertentu ke sms, kira2 solusi lain'a apa? thx",3,NEGATIVE
Aplikasi ini sangat membantu sekali,5,POSITIVE
apk bagus banget,5,POSITIVE
Aplikasinya Bagus & Membantu,5,POSITIVE
cukup memuaskan aplikasi nya mudah di gunakan.. semoga ttp mudah dan sukses selalu,4,POSITIVE
ok mantap,5,POSITIVE
solusi untuk hp yg aflikasinya tidak mendukung apa? apa harus ganti hp,5,NEGATIVE
"tolong diperbaiki 1. berbicara dgn call center, lagi berbicara pihak call center bilang tidak ada suaranya, padahal suara call center terdengar jelas 2. terkait rujukan ke faskes selanjutnya, dari pihak rumah sakit yg dituju, ada tambahan persyaratan yg b",2,NEGATIVE
memudahkan penggunaan BPJS kesehatan,5,POSITIVE
Good app's,5,POSITIVE
"menghemat waktu,dan efisien",5,POSITIVE
pelayanan sangat baik dan cepat juga memberikan kemudahan cukup dari rumah sja sudah bisa diproses,5,POSITIVE
mudah untuk update skrining,5,POSITIVE
lebih mudah dan praktis,5,POSITIVE
bagus,5,POSITIVE
ok,5,POSITIVE
aku suka aplikasi ini,5,POSITIVE
mantap,5,POSITIVE
Penggunaan mudah,5,POSITIVE
Sangat bagus dan pengunaannya mudah,5,POSITIVE
terbaik,5,POSITIVE
"mudah, dan kalau mau antrian tinggal online, jadi ga perlu ngantri lagi",5,POSITIVE
lmyan membantu,5,POSITIVE
nice,5,POSITIVE
good,5,POSITIVE
sangat mudah,5,POSITIVE
sangat membantu,5,POSITIVE
terbaik,5,POSITIVE
"User friendly, mantal, sanvat membantu.",5,POSITIVE
ok,5,POSITIVE
"call center nya kurang bisa menangkap apa kendala yg diceritakan oleh pasien, dan kaga nyambung (soalnya kejadian berulang) ditanya apa jawab apa, perlu ditraining lg",1,NEGATIVE
bagus tapi disayangkan sisa antrian tidak update,3,NEGATIVE
"sangat membantu ,terimaksih",5,POSITIVE
maaf kenapa aplikasinya sejak diperbaharui bulan Oktober ngga bisa dibuka yah langsung out gitu pdhal kuota sama wifi lancar mohon bantuannya__,3,NEGATIVE
"bapak saya gak bisa senyum, pernah struk, harus gitu verifikasi kudu senyum, gimana sih. terus harus gtu beda no HP, bapak udh sepuh, gak ngerti HP, no HP saya udh terdaftar dan gak bisa masukin no hp yg sama. ribet bener",1,NEGATIVE
"Semoga bisa membantu pengobatan sy dgn adanya kartu mobile JKN ,yg seorang single mom",5,POSITIVE
sangat mempmudah Untuk melakukan pemeriksaan kesehatan,5,POSITIVE
sangat bagus,5,POSITIVE
Bagus,5,POSITIVE
registrasi susah banget. aplikasi macam apa ini. parah banget,1,NEGATIVE
sering logout sendiri,3,NEGATIVE
bagus dan membantu,5,POSITIVE
sangat Bagus,5,POSITIVE
sangat berguna,5,POSITIVE
Bagu sangat membantu proses kepesertaan,5,POSITIVE
oke,4,POSITIVE
ok sip,5,POSITIVE
membantu pasien,5,POSITIVE
mudah dan sangat membantu,5,POSITIVE
bagus,5,POSITIVE
mantap,5,POSITIVE
"sudah lumayan bagus, tapi masih bisa lebih dioptimalkan lagi. Jangan berhenti segini, terus kembangkan dan sempurnakan.",5,POSITIVE
terimakasih mobile JKN sangat membantu ____,5,POSITIVE
app mantab,5,POSITIVE
"sudah bagus, dan tingkatkan lagi utk lebih bagus",5,POSITIVE
lancar dan mudah,5,POSITIVE
"aplikasinya mudah di gunakan, fiturnya baik juga, semoga di barengi dengan real pelayan nya di dunia nyata nya____",5,POSITIVE
bagus,4,POSITIVE
Bagus dan cepat,5,POSITIVE
"aplikasi apaan bikin susah. orang mau berobat dipersulit, login begini verifikasi begitu. perbaiki lah!!",1,NEGATIVE
memudahkan dalam pengaturan dan perubahan data tanpa antri,4,POSITIVE
aplikasi yang bagus untuk memudahkan penyelesaian BPJS,4,POSITIVE
karena error ga jelas apk nya sering muncul permintaan belum di proses yang ini lah yang itu,2,NEGATIVE
"Tiba-tiba saja akun saya keluar dan pas coba log in lagi sudah tidak bisa, meski sudah diulang beberapa kali pun dengan data-data yg dimasukkan juga sudah benar tetap tidak bisa. Alasan NIK salah, password salah, captcha salah, begitu saja terus ""(",1,NEGATIVE
lebih mempercepat,5,POSITIVE
Kk mau tanya kok di data jkn kepesertaan sebelum nya ada 2 orang tp pas sy cek lg yg muncul hanya 1 kak kenapa ya kak kira_.,5,POSITIVE
bagus,5,POSITIVE
"aplikasi sangat membantu mempermudah,efisiensi waktu juga ga perlu ngantri dr jauh"" cukup daftar dpt langsung nomer pendaftaran",4,POSITIVE
semoga semakin memudahkan teknologi nya,5,POSITIVE
saya pun mengalami sama bahkan terkunci smua di buka susah daftr dn masuk pun dah di coba..PD ke kunci smua,3,NEGATIVE
sangat membantu,5,POSITIVE
pelayanan nya semakin hari semakin baik trima kasih buat buat layanan kesehatan terutama di desa kami,5,POSITIVE
MANTAPPP,5,POSITIVE
sangat membantu,5,POSITIVE
sangat membantu sekali,5,POSITIVE
"lupa Pasword, pas Mau recreate malah katanya Nomor telpon dan email salah. padahal Ndak pernah Ganti nomor____",1,NEGATIVE
Saat mau perpanjang rujukan dari klinik di kota Bandung dipindahkan Faskes I ke puskesmas Cibeureum Tasikmalaya saya kira Cibeureum Cimahi setelah cek JKN mobile ternyata Cibeureum Tasikmalaya secara otomatis sehingga petugas klinik tdk bisa membantu.tolo,1,NEGATIVE
pelayanan nya sangat memuaskan,5,POSITIVE
sesusah ini mau berobat dinegeri sendiri padahal ini juga kita kita yg bayar bukan pemerintah kecuali pbi.. mau masuk ajah harus pake autodebit.. lu gila apa gimana? mau curi uang rakyat lagi scr diam diam? bahaya bgt ini fitur autodebit,1,NEGATIVE
layanan terbaik,5,POSITIVE
sangat membantu,5,POSITIVE
ok,5,POSITIVE
bagus,5,POSITIVE
oke lah kalo begitu,5,POSITIVE
untuk Developernya coba dong untuk pengisian skrining kesehatan di pisahkan aja jangan pas pengambilan antrian kita harus ngisi skrining dulu kelamaan min soalnya ga semua orang punya hp bagus jadi kadang pas mau isi skrining kesehatan ga muncul apa apa d,4,NEGATIVE
mantap,5,POSITIVE
sudah di update tidak bisa login,1,NEGATIVE
cukup bagus pelayanannya cepat sigap,4,POSITIVE
good,5,POSITIVE
"gabisa login jinx, update apasih klo msih gabisa login",1,NEGATIVE
sangat membantu,5,POSITIVE
sangat sangat membantu...,5,POSITIVE
Aplikasi yg Sangat bermanfaat utk kita lbih mudah Mengakses Pelayanan.,5,POSITIVE
"apk sangat membantu, pelayanan faskes dan poli cepat",5,POSITIVE
sangat membantu pendapataran dg mudah,5,POSITIVE
"Aplikasi sampah....kalau ada bintang 0, saya kasih 0....apalagi CS nya",1,NEGATIVE
mantap,5,POSITIVE
"Sangat membantu dalam proses penangan kasus , maaf umur saya 68 thn tak mungkin saya sebagai karyawan perusahaan maka sebagai masukan ,aplikasi baru ada koreksi untuk hal tsb ______ karena pembayaran BPJS di tanggung putri saya",5,POSITIVE
sangat membantu,5,POSITIVE
"udah bgs bgt apa apa pake jkn jd ga perlu antri manual,TAPI setiap login ga bisa padahal nik dan pswd sudah benar tolong dong ini gimana ,salah mulu padahal udah benerrrrr ,kalo keluar apk dan mau buka apk lg perlu login mulu kesel bgt gue ,dan pas login",3,POSITIVE
sangat baik sekali,5,POSITIVE
aplikasi yg sangat memudahkan,5,POSITIVE
sangat membantu____,4,POSITIVE
ok,3,POSITIVE
Mempersingkat waktu pendaftaran ! ____,5,POSITIVE
"SALDO JHT PT LAMA SAYA KEMANA ??? KOK ILANG ? KNPA CUMA SALDO JHT PT BARU SAYA YG TERDAFTAR ? SAYA INGAT AWAL JMO SAYA PUNYA 2 SALDO JHT. SEKARANG KNP CUMA SATU ? DAN SAYA BELUM CLAIM SALDO JHT PT LAMA SAYA. DASAR BPJS KORUP !! SARAN GW UTK YG PINDAH PT,",1,NEGATIVE
sangat membantu,5,POSITIVE
memudahkan jikala no kartu hilang,5,POSITIVE
sangat mudah di gunakan dan sangat membantu sekali,5,POSITIVE
JURDIL aja thanks,5,POSITIVE
ok cepat,5,POSITIVE
mantap ____,5,POSITIVE
Bagus dan membantu sekali,5,POSITIVE
bagus dan sangat membantu thanks pemerintah Ri,5,POSITIVE
mantap,4,POSITIVE
Bagus,5,POSITIVE
"mudah digunakan, tidak banyak iklan, respon admin baik",5,POSITIVE
pelayanannya memuaskan,5,POSITIVE
"login nya kenapa gabisa, gak kyak biasanya",3,POSITIVE
mempermudah masyarakat,5,NEGATIVE
"lama tak terpakai ke logout sendiri, sangat menyusahkan bagi orang yang pelupa. meminta kode Verifikasi pun lama sampai mengulang 10000x.sangat menjengkelkan.!!!!",1,NEGATIVE
sangat membantu,4,POSITIVE
sangat mudah digunakan dimanapun dan kapanpun,5,POSITIVE
memudahkan,5,POSITIVE
good aplikasi,5,POSITIVE
Sangat Baik dalam Pelayanan kesehatan,5,POSITIVE
proses cepat dan ringkas,5,POSITIVE
ok,5,POSITIVE
mau verifikasi wajah susah amat,1,NEGATIVE
lgi ngk bisa login,5,NEGATIVE
sangat terbantu sekali,5,POSITIVE
proses nya cepat,5,POSITIVE
mantapp,5,POSITIVE
baikk,5,POSITIVE
"sangat tidak berguna. verifikasi wajah sudah berkali-kali gagal teruss sampe sekarang belum bisa. mau nambah peserta pun tetap ga bisa, harus masukin nomor KK tapi tidak bisa di ketik. bukan nya mempermudah malah makin di persulit",1,NEGATIVE
sulit cari no antrean untuk paskes lanjutan padahal sudah ada rujukan dan surat kontrol . tidak ada fitur scan atau foto surat kontrol atau rujukan,1,NEGATIVE
"Sangat buruk, cs juga buruk.. Jaringan buruk",1,NEGATIVE
nice job,5,POSITIVE
saya kasih bintang 2 dulu.. sekarang masuk jkn tiba2 keluar sendiri dari aplikasi jkn nya.. dan pas mau login lg harus dafta auto debit kalo gak daftar gak bisa login.. tp sayangnya pas mau daftar auto debil lewat rekening BCA selalu gak bisa terus.. tolo,2,NEGATIVE
memudahkan pendaftaran ke rumah sakit,5,POSITIVE
bagus lebih cepat kalau cari antri,5,POSITIVE
awalnya dianggap login berbeda. Semua sudah normal dengan menghapus semua data aplikasi,3,POSITIVE
bermanfaat,5,POSITIVE
memudahkan sekali. terus pertahankan.,5,POSITIVE
"kenapa sering log out setiap bulan, kenapa gak dibikin sekali masuk udah masuk aja trus jangan di log out otomatis",4,NEGATIVE
mudah digunakan,5,POSITIVE
"sangat susah mau daftar antrian, loading terus, keterangannya offline, padahal sinyal bagus",1,NEGATIVE
mantaps,5,POSITIVE
Aplikasi yang sangat membantu dalam proses pendaftaran baik di faskes pertama maupun ke poli yang ada di rumah sakit untuk jadwal berobat jalan . Terima kasih __,5,POSITIVE
Kasih kelad 1 dong,5,POSITIVE
"ini mobile jkn kenapa ya, saya ga bisa login, kode verif sms juga sampai jenggot beruban nunggunya juga ga muncul"". mengecewakan.",1,NEGATIVE
sangatt puas,5,POSITIVE
mantap istebest,5,POSITIVE
bagus dan memuaskan,5,POSITIVE
mantab,4,POSITIVE
bagus membantu,5,POSITIVE
mantap,5,POSITIVE
"makin ke sni makin gk jelas aplikasi dri bulan kmrin smpai skrang gk bsa masuk, Indonesia makin parah, seharus pegawai di pecat sangat persulit masyarakat,",1,NEGATIVE
ok,4,POSITIVE
bagus____,5,POSITIVE
ini knp yaa kemaren klo abis dari RS langsung otomatis perpanjang rujukan lah ini udah klinik daftar antrian tingkat lanjut gabisa diklik coba min gmn ini solusinya.. diperbarui bukannya tambah enak ko malah gini sihhh .. bintang 3 dulu yaa min,3,NEGATIVE
"saya mau kasih ulasan coba perbaiki bug update data nomor hp,saya memasukkan no hp yg udah pernah dipakai peserta notifnya,cuman saya mau input nomor yang lain masih ada bug gak bisa di input nomornya,tolong mobile jkn update lagi lah kalau bisaa kirim pe",5,POSITIVE
"tolong lah kalau mau berobat dipermudahkan apalgi klo skit kambuh lgsg ditindaklanjuti mentang"" pkk BPJS diperlakukan seenaknya pasien, org kesakitan ke IGD rsu ktnya gk bsa hrs ke faskes 1 dlu, sblmnya org faskes 1 blg klo darurat pergi saja ke RS terdek",1,NEGATIVE
sangat puas,5,POSITIVE
terimakasih sudah sangant membantu,5,POSITIVE
Sangat Mudah di Pahami.. kereeeen,5,POSITIVE
good,5,POSITIVE
ok,4,POSITIVE
ok,5,POSITIVE
tambah baik dan super cepat pelayanannya,5,POSITIVE
sangat membantu,5,POSITIVE
"Daftar antrian pakai jkn mobile di klinik TIDAK BERGUNA, urutan antrian tidak sesuai aplikasi!",1,NEGATIVE
aplikasi di update malah logout... mana mau ganti password kode ngga dikirim via sms... minta kirim ulang juga tetap ngga dikirim,3,NEGATIVE
"knp sering kluar sendiri?? hrus daftar"" trusss",3,NEGATIVE
aplikasi apaaan daftar aja sulit sampe sekarang masih blm bisa daftar kalo berobat wajib jkn hadeehhh gini amat hidup di Indonesia,1,NEGATIVE
"akhir-akhir ini apk JKN makin tidak berfungsi,khusus saat mengambil antrian online,tolong di perbaiki",1,NEGATIVE
"mau masuk minta kode otp lewat sms udah lama banget nunggu sms ngga masuk_. ternyata karena hpnya ngga ada pulsa, cuma ada kuota data. setelah isi pulsa, sms otpnya bisa masuk.",4,NEGATIVE
